date,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,total_delay,delay_ratio,cancel_ratio
2024-01-01,2024,1,PT,Piedmont Airlines,RIC,"Richmond, VA: Richmond International",112,29,5,0,3226.0,0.25892857142857145,0.044642857142857144
2024-01-01,2024,1,PT,Piedmont Airlines,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",156,28,6,3,2819.0,0.1794871794871795,0.038461538461538464
2024-01-01,2024,1,PT,Piedmont Airlines,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",105,24,2,1,2740.0,0.22857142857142856,0.01904761904761905
2024-01-01,2024,1,PT,Piedmont Airlines,SAV,"Savannah, GA: Savannah/Hilton Head International",46,5,0,0,304.0,0.10869565217391304,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,SBY,"Salisbury, MD: Salisbury-Ocean City/Wicomico Regional",120,16,0,0,2055.0,0.13333333333333333,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,SCE,"State College, PA: University Park",73,16,4,0,2585.0,0.2191780821917808,0.0547945205479452
2024-01-01,2024,1,PT,Piedmont Airlines,SDF,"Louisville, KY: Louisville Muhammad Ali International",43,9,0,0,747.0,0.20930232558139536,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,SYR,"Syracuse, NY: Syracuse Hancock International",96,21,2,3,1670.0,0.21875,0.020833333333333332
2024-01-01,2024,1,PT,Piedmont Airlines,TLH,"Tallahassee, FL: Tallahassee International",86,13,2,0,463.0,0.1511627906976744,0.023255813953488372
2024-01-01,2024,1,PT,Piedmont Airlines,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",118,19,0,1,1397.0,0.16101694915254236,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,TVC,"Traverse City, MI: Cherry Capital",14,3,1,0,242.0,0.21428571428571427,0.07142857142857142
2024-01-01,2024,1,PT,Piedmont Airlines,TYS,"Knoxville, TN: McGhee Tyson",20,5,0,0,271.0,0.25,0.0
2024-01-01,2024,1,QX,Horizon Air,ABQ,"Albuquerque, NM: Albuquerque International Sunport",7,2,0,0,69.0,0.2857142857142857,0.0
2024-01-01,2024,1,QX,Horizon Air,AKN,"King Salmon, AK: King Salmon Airport",17,6,0,0,434.0,0.35294117647058826,0.0
2024-01-01,2024,1,QX,Horizon Air,ANC,"Anchorage, AK: Ted Stevens Anchorage International",332,109,13,0,7853.0,0.32831325301204817,0.0391566265060241
2024-01-01,2024,1,QX,Horizon Air,BIL,"Billings, MT: Billings Logan International",51,4,1,0,248.0,0.0784313725490196,0.0196078431372549
2024-01-01,2024,1,QX,Horizon Air,BOI,"Boise, ID: Boise Air Terminal",364,77,2,1,4444.0,0.21153846153846154,0.005494505494505495
2024-01-01,2024,1,QX,Horizon Air,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",5,0,1,0,0.0,0.0,0.2
2024-01-01,2024,1,QX,Horizon Air,BZN,"Bozeman, MT: Bozeman Yellowstone International",85,19,4,0,968.0,0.2235294117647059,0.047058823529411764
2024-01-01,2024,1,QX,Horizon Air,DLG,"Dillingham, AK: Dillingham Airport",30,7,1,1,828.0,0.23333333333333334,0.03333333333333333
2024-01-01,2024,1,QX,Horizon Air,EAT,"Wenatchee, WA: Pangborn Memorial",62,8,2,0,460.0,0.12903225806451613,0.03225806451612903
2024-01-01,2024,1,QX,Horizon Air,ELP,"El Paso, TX: El Paso International",31,7,0,0,279.0,0.22580645161290322,0.0
2024-01-01,2024,1,QX,Horizon Air,EUG,"Eugene, OR: Mahlon Sweet Field",82,18,11,0,963.0,0.21951219512195122,0.13414634146341464
2024-01-01,2024,1,QX,Horizon Air,FAI,"Fairbanks, AK: Fairbanks International",169,43,4,1,2711.0,0.25443786982248523,0.023668639053254437
2024-01-01,2024,1,QX,Horizon Air,FCA,"Kalispell, MT: Glacier Park International",72,14,9,0,947.0,0.19444444444444445,0.125
2024-01-01,2024,1,QX,Horizon Air,GEG,"Spokane, WA: Spokane International",256,46,4,1,1739.0,0.1796875,0.015625
2024-01-01,2024,1,QX,Horizon Air,GTF,"Great Falls, MT: Great Falls International",7,1,0,0,21.0,0.14285714285714285,0.0
2024-01-01,2024,1,QX,Horizon Air,HDN,"Hayden, CO: Yampa Valley",14,2,0,0,49.0,0.14285714285714285,0.0
2024-01-01,2024,1,QX,Horizon Air,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",24,2,0,0,70.0,0.08333333333333333,0.0
2024-01-01,2024,1,QX,Horizon Air,IDA,"Idaho Falls, ID: Idaho Falls Regional",28,5,0,0,207.0,0.17857142857142858,0.0
2024-01-01,2024,1,QX,Horizon Air,LAS,"Las Vegas, NV: Harry Reid International",110,31,3,0,2085.0,0.2818181818181818,0.02727272727272727
2024-01-01,2024,1,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",113,33,8,0,2405.0,0.2920353982300885,0.07079646017699115
2024-01-01,2024,1,QX,Horizon Air,MFR,"Medford, OR: Rogue Valley International - Medford",145,29,5,1,1179.0,0.2,0.034482758620689655
